Nama,Deskripsi,Kategori,Restoran,Harga,Rating,Foto
Sego Abang Jirak,Nasi merah dengan lauk pauk tradisional,Makanan Berat,Warung Sego Abang Indah,40000,4.6,https://media-cdn.tripadvisor.com/media/photo-s/15/c0/67/b7/screenshot-20181217-125943.jpg
Cilok Gajahan,Cilok kenyal dengan isian daging,Jajanan,Cilok Gajahan Pak Sastro Utama,10000,4.1,https://bacajogja.id/wp-content/uploads/2021/08/cilok-gajahan.jpg
Brongkos,Daging sapi dimasak dengan santan kental,Makanan Berat,Warung Brongkos Handayani Makmur,38000,4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqFet5W2qFQJBgGv3ZP-qSF4uC351vZ9SDMw&s
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jawa Mbah Mo Makmur,23000,4.4,https://asset.kompas.com/crops/P3vaJiaIW8QtnQBJkEsrWX3EkFM=/74x23:952x609/750x500/data/photo/2021/05/21/60a732315e52e.jpg
Belalang Goreng,Belalang digoreng kering,Camilan Ekstrem,Pasar Godean Makmur,20000,4.8,https://statik.tempo.co/data/2020/05/07/id_936525/936525_720.jpg
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti Sejahtera,10000,4.4,https://sl.bing.net/p67vrkxFqC
Coklat Monggo,Coklat yang menggunakan kakao asli tanpa campuran lemak lain selain dari biji kakao,Camilan Ekstrem,The Gunungan,42000,4.8,https://sl.bing.net/ffE613i6gW4
Kipo,Kue kenyal manis khas Kotagede,Jajanan Tradisional,Toko Kue Kipo Bu Amanah Utama,10000,4.8,https://sl.bing.net/cTQbRfvN0b6
Gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Yu Djum Makmur,60000,4.9,https://sl.bing.net/ezehXc9UtW0
Mangut Lele,Lele asap dimasak santan,Makanan Tradisional,Mangut Lele Mbah Marto Utama,22000,4.5,https://sl.bing.net/iDzbZrafPZk
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,Pasar Beringharjo Lestari,61000,4.9,https://sl.bing.net/hQjOWVeBcke
Sop Merah,Sop dengan kuah cabai merah,Makanan Pedas,Warung Sop Merah Bu Asih Barokah,35000,4.3,https://sl.bing.net/dQJVTzQKeCi
Jadah Tempe Mbah Carik,Perpaduan antara jadah (ketan yang ditumbuk) dan tempe bacem manis gurih,Makanan tradisional,Jadah Tempe Mbah Carik,20000,4.6,https://sl.bing.net/dujdv3tZv6O
Sayur Lombok Ijo,Sayur tempe pedas khas Jogja,Makanan Pelengkap,Warung Sayur Tradisional Indah,10000,5,https://sl.bing.net/evqaFR0DQWa
Yangko,Kue kenyal berbentuk kotak dari tepung ketan,Oleh-oleh,Toko Oleh-oleh Khas Jogja Makmur,64000,4.5,https://sl.bing.net/hz2QWsnzrd6
Brongkos,Daging sapi dimasak dengan santan kental,Makanan Berat,Warung Brongkos Handayani Indah,35000,4.6,https://sl.bing.net/b1jfEQRKPHo
Bakpia Pathok Keju,Kue isi kacang hijau khas Jogja,Oleh-oleh,Bakpia Pathok 25 Lestari,28000,5,https://asset.kompas.com/crops/Vp7CguYmbbVF6T14quMsycZvt9E=/2x29:959x667/750x500/data/photo/2021/09/03/61320223d937e.jpg
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jawa Mbah Mo Raya,38000,4.5,https://asset.kompas.com/crops/P3vaJiaIW8QtnQBJkEsrWX3EkFM=/74x23:952x609/750x500/data/photo/2021/05/21/60a732315e52e.jpg
Brongkos,Daging sapi dimasak dengan santan kental,Makanan Berat,Warung Brongkos Handayani Lestari,14000,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNr5_LquFVCoZQQXginz0-2cuDt4cKoaAlnw&s
